0003000M_phase0_T,0003000M_phase0_R,0004000M_phase0_T,0004000M_phase0_R,0005000M_phase0_T,0005000M_phase0_R,0006000M_phase0_T,0006000M_phase0_R,0007000M_phase0_T,0007000M_phase0_R,0008000M_phase0_T,0008000M_phase0_R,0009000M_phase0_T,0009000M_phase0_R,0010000M_phase0_T,0010000M_phase0_R,0011000M_phase0_T,0011000M_phase0_R,0012000M_phase0_T,0012000M_phase0_R,0013000M_phase0_T,0013000M_phase0_R,0014000M_phase0_T,0014000M_phase0_R,0015000M_phase0_T,0015000M_phase0_R,0016000M_phase0_T,0016000M_phase0_R
3413.1024,0.292184593,3595.615297,0.364689607,3781.348526,0.455988915,4033.048406,0.557568176,4448.848261,0.642271819,4930.97274,0.712418849,5351.648399,0.793115773,5704.658975,0.889710134,6011.615269,1.002338012,6308.827799,1.127397791,6621.619208,1.250952345,6944.159385,1.352447388,7335.625462,1.413559138,7805.770703,1.430570125
3413.137594,0.292239123,3595.209027,0.364944587,3781.581704,0.456135578,4032.495181,0.557734188,4448.337824,0.642469678,4930.210425,0.712678185,5351.210156,0.793409773,5705.305837,0.889999997,6014.492592,1.002600087,6315.277969,1.127245981,6627.029578,1.248203227,6945.662443,1.348419005,7334.573064,1.410222678,7806.428755,1.430370813
3413.174537,0.292299083,3594.920217,0.365210478,3782.046192,0.456245824,4032.058731,0.557886098,4447.817689,0.642667049,4929.448227,0.712937615,5350.834053,0.79368446,5706.085045,0.890256783,6017.373964,1.002854166,6321.053805,1.12698813,6630.4954,1.245786417,6946.348401,1.345717077,7334.16197,1.408415867,7806.977628,1.430242177
3413.215319,0.292370945,3594.71934,0.365475817,3782.552341,0.456348648,4031.681856,0.558030827,4447.25173,0.642861892,4928.741696,0.713196164,5350.457977,0.793959241,5706.86436,0.890513643,6020.256041,1.003108148,6326.337622,1.126652967,6632.685232,1.243799257,6946.709794,1.34401997,7334.295482,1.407374215,7807.522673,1.430116053
3413.256101,0.292442825,3594.558237,0.365750957,3783.206164,0.456427706,4031.305017,0.558175594,4446.685842,0.643056794,4928.099382,0.713453679,5350.135637,0.794221577,5707.651594,0.89076726,6022.872858,1.003298548,6330.220125,1.126216336,6633.859162,1.242442876,6947.033757,1.343111054,7334.742374,1.406705322,7807.984859,1.43002684
3413.296884,0.292514722,3594.30171,0.366030348,3783.94983,0.456492514,4030.974681,0.558312294,4446.130838,0.643252072,4927.457153,0.713711287,5349.896219,0.794464635,5708.522239,0.890985582,6025.490813,1.003488984,6333.851525,1.125770307,6634.675256,1.241476718,6947.380405,1.34251287,7335.369454,1.406246983,7808.388177,1.429963847
3413.342877,0.292604394,3594.022605,0.366310201,3782.825938,0.456708547,4030.685494,0.558441855,4445.635889,0.643449171,4926.847747,0.713965134,5349.656811,0.794707768,5709.393016,0.891203957,6028.109905,1.003679456,6336.163971,1.125347307,6635.28456,1.240736654,6947.75107,1.342158047,7336.064722,1.405976575,7808.791515,1.429900857
3413.390064,0.292698161,3593.762851,0.3665932,3774.499474,0.457518799,4030.396327,0.558571445,4445.140995,0.64364633,4926.31013,0.714210624,5349.427484,0.794949227,5710.263927,0.891422386,6030.293771,1.003828692,6338.477261,1.124924466,6635.648027,1.240433844,6948.132473,1.342024284,7336.73063,1.405746794,7809.115439,1.429893721
3413.437251,0.292791958,3593.603434,0.36687338,3766.191338,0.458330489,4030.112354,0.558699838,4444.646156,0.643843549,4925.772572,0.714456199,5349.334597,0.795167072,5711.157322,0.891623811,6032.409271,1.00397141,6339.726475,1.12464102,6635.996156,1.240170424,6948.514812,1.341923447,7337.348711,1.405583065,7809.433642,1.429890616
3413.486239,0.292891949,3593.446881,0.367153631,3771.041202,0.458124883,4029.853717,0.558822257,4444.179643,0.644042534,4925.235072,0.714701858,5349.241711,0.795384976,5712.060943,0.891817585,6034.525513,1.004114148,6340.974612,1.124357818,6636.258895,1.240125664,6948.885042,1.341936277,7337.935459,1.405456844,7809.75176,1.429887643
3413.541494,0.293013455,3593.302036,0.367432132,3782.256912,0.457428735,4029.595097,0.558944702,4443.716493,0.644241781,4924.802366,0.714930924,5349.148827,0.795602941,5712.964706,0.892011401,6036.350564,1.004246458,6341.790184,1.124199202,6636.518204,1.240088757,6949.255291,1.341949108,7338.484688,1.405375498,7810.037658,1.429928051
3413.596751,0.293135012,3593.200557,0.367700994,3793.146366,0.456756192,4029.336493,0.559067174,4443.253392,0.644441089,4924.378798,0.715158614,5349.109452,0.795809144,5713.868163,0.892204952,6037.824222,1.004366189,6342.398257,1.124100326,6636.725658,1.240170222,6949.590281,1.342022286,7339.020657,1.405311702,7810.323567,1.42996846
3413.652009,0.293256618,3593.099695,0.367969882,3790.598725,0.456927383,4029.066704,0.559188333,4442.776006,0.644639721,4923.955267,0.715386377,5349.124325,0.796003414,5714.759545,0.892390196,6039.298239,1.004485935,6342.977799,1.124014244,6636.933117,1.240251693,6949.923516,1.342098498,7339.52393,1.405291084,7810.609486,1.43000887
3413.711872,0.293394863,3592.998835,0.368238967,3788.06573,0.457095551,4028.789166,0.559308588,4442.278186,0.64483736,4923.550647,0.715607864,5349.139199,0.796197731,5715.651066,0.892575479,6040.772617,1.004605696,6343.265764,1.124058573,6637.114,1.240375692,6950.215452,1.342193005,7340.027238,1.405270467,7810.809825,1.430084318
3413.775462,0.293546607,3592.984787,0.368492866,3788.912042,0.457124592,4028.511646,0.559428869,4441.780421,0.645035058,4923.191388,0.71581417,5349.154073,0.796392095,5716.542727,0.8927608,6041.791615,1.004729479,6343.553741,1.124102903,6637.284638,1.240516102,6950.481901,1.342298807,7340.427057,1.405285952,7810.987863,1.430168902
3413.839054,0.293698428,3592.984167,0.368744754,3790.634734,0.457117561,4028.234146,0.559549175,4441.282713,0.645232818,4922.832155,0.716020535,5349.241687,0.796575578,5717.418555,0.892944847,6042.682103,1.004854409,6343.813608,1.124169172,6637.453202,1.240660543,6950.747331,1.342405358,7340.811508,1.405306803,7811.165906,1.430253491
3413.902648,0.293850329,3592.983547,0.368996814,3792.34502,0.457099609,4027.94834,0.559672838,4440.831993,0.645432954,4922.472949,0.716226959,5349.362323,0.79675414,5718.193168,0.893120599,6043.572721,1.004979355,6343.980587,1.124307912,6637.606788,1.240833949,6950.97533,1.342538791,7341.182723,1.405335727,7811.337211,1.430350015
3413.974424,0.294030376,3592.940497,0.369244288,3794.035732,0.457067801,4027.660557,0.559797327,4440.400057,0.645634076,4922.169502,0.716426515,5349.482961,0.796932742,5718.967887,0.893296385,6044.463471,1.005104316,6344.14757,1.12444667,6637.760377,1.241007379,6951.203337,1.342672237,7341.498348,1.405398515,7811.493202,1.430473656
3414.048084,0.294216989,3592.879373,0.369486596,3795.727197,0.457035995,4027.372796,0.559921843,4439.968162,0.645835261,4921.934727,0.716617588,5349.603602,0.797111384,5719.74271,0.893472206,6045.000831,1.005252674,6344.309613,1.124589878,6637.911036,1.241185696,6951.427095,1.342809957,7341.813986,1.405461306,7811.649197,1.430597308
3414.121745,0.294403721,3592.818249,0.369729063,3799.40443,0.456826742,4027.085054,0.560046388,4439.536309,0.646036509,4921.699963,0.716808713,5349.781031,0.797283607,5720.516885,0.893648054,6045.477152,1.005405094,6344.428535,1.124771784,6638.053227,1.241378081,6951.630442,1.342968137,7342.120959,1.405533539,7811.805194,1.43072097
3414.195565,0.294591057,3592.789429,0.369967082,3803.202306,0.456606606,4026.880782,0.56018233,4439.185185,0.646232172,4921.465211,0.716999888,5349.98818,0.797452487,5721.145371,0.893822519,6045.95351,1.005557536,6344.547459,1.124953719,6638.195421,1.241570496,6951.833794,1.343126336,7342.402063,1.405633929,7811.930437,1.430873609
3414.2807,0.294813285,3592.85525,0.370187567,3799.854377,0.457049973,4026.693253,0.560320587,4438.85196,0.646426644,4921.267305,0.71718609,5350.195338,0.797621402,5721.773925,0.893997018,6046.429906,1.005710002,6344.666386,1.125135683,6638.336444,1.241764876,6952.035653,1.343285828,7342.683177,1.405734326,7812.030176,1.431050287
3414.365837,0.295035681,3592.92644,0.370405527,3783.644719,0.458695577,4026.505733,0.560458877,4438.518761,0.646621173,4921.125246,0.717364721,5350.402503,0.797790353,5722.402549,0.894171552,6046.749704,1.005879387,6344.77466,1.125333242,6638.469413,1.241972565,6952.211615,1.343467363,7342.9618,1.405836375,7812.129916,1.431226986
3414.450976,0.295258245,3592.997632,0.370623615,3767.504208,0.460347106,4026.318222,0.560597201,4438.185586,0.646815761,4920.983191,0.717543396,5350.626108,0.797954323,5723.031242,0.894346119,6046.997681,1.00605655,6344.878433,1.125537416,6638.602385,1.242180289,6952.387581,1.343648922,7343.189926,1.40597165,7812.229657,1.431403707
