time	flux	flux_err
1437.9956229361721	0.99958074	0.00085080636
1437.9970118806002	1.0008702	0.00085047254
1437.9984008250283	1.001438	0.0008503586
1437.99978976899	1.001202	0.00085054536
1438.0011787134188	1.0011353	0.00085019885
1438.0025676578477	0.99965996	0.0008490192
1438.0039566018095	1.0007198	0.0008488411
1438.0053455462378	1.0001856	0.00084877445
1438.0067344906663	1.0014461	0.00084836135
1438.0081234350953	1.0009398	0.00084777124
1438.0095123795234	1.0002099	0.0008474553
1438.0109013234853	1.0013167	0.00084822834
1438.0122902679134	1.0012261	0.0008473712
1438.0136792123421	1.0019276	0.0008474214
1438.0150681567704	0.99995285	0.00084670685
1438.0164571011985	1.0012311	0.00084626576
1438.017846045161	1.0001317	0.00084551953
1438.01923498959	1.0012536	0.00084648054
1438.0206239340184	1.0003122	0.0008452232
1438.022012878446	1.0010104	0.00084462896
1438.0234018228741	1.0004277	0.00084449275
1438.0247907673022	1.0006758	0.0008445182
1438.0261797117303	1.0006474	0.00084372936
1438.0275686561592	0.9998551	0.0008430699
1438.0289576001217	0.99979603	0.0008441489
1438.0303465445497	1.0006142	0.00084352493
1438.0317354889787	0.9995267	0.00084238074
1438.0331244334068	1.0001609	0.0008425453
1438.0345133778349	1.0000347	0.00084238173
1438.035902322263	1.0002495	0.0008418885
1438.0372912666905	0.9997725	0.00084149226
1438.0386802111195	1.0013828	0.0008418943
1438.040069155548	1.0007464	0.00084106287
1438.0414580999764	0.9995355	0.00084056036
1438.0428470444047	0.9994773	0.000840072
1438.0442359888318	1.0016055	0.0008403165
1438.0456249332608	1.0000536	0.0008406388
1438.0470138776898	0.99961126	0.0008393316
1438.048402822117	1.0004159	0.000839047
1438.049791766545	1.0005533	0.00083910057
1438.051180710974	1.0005666	0.0008389938
1438.0525696558686	1.0004258	0.0008382884
1438.0539586002967	1.0005962	0.0008381609
1438.055347544724	1.0008299	0.0008385533
1438.0567364891524	0.999383	0.0008383936
1438.058125433581	0.9994372	0.00083714153
1438.059514378009	1.0003653	0.00083697174
1438.0609033224373	1.0011227	0.00083697855
1438.0622922668656	1.0007055	0.00083694013
1438.0636812112941	1.000391	0.00083634246
1438.0650701561888	1.000009	0.0008368404
1438.0664591006164	0.99820906	0.0008358815
1438.0678480450445	1.0010309	0.0008353386
1438.0692369894725	1.0004995	0.0008356208
1438.0706259339006	1.0007535	0.0008355375
1438.0720148783296	1.0015515	0.0008359343
1438.0734038232233	0.99962956	0.0008340684
1438.0747927676514	0.99867314	0.00083458563
1438.0761817120795	1.0003092	0.00083469594
1438.0775706565075	1.0008924	0.0008340489
1438.0789596009365	1.0003695	0.0008338347
1438.0803485458302	1.0001385	0.0008334749
1438.0817374902579	0.9996564	0.00083308516
1438.0831264346866	1.0003579	0.0008326044
1438.0845153791154	0.99977595	0.0008327581
1438.085904324009	0.9997566	0.0008323136
1438.0872932684372	1.0005182	0.0008329977
1438.0886822128648	1.0001335	0.00083237
1438.0900711572938	0.99908686	0.00083145464
1438.091460102188	1.0002086	0.0008313391
1438.0928490466156	0.9998775	0.00083134265
1438.0942379910437	0.99963516	0.0008313013
1438.0956269359383	0.9997444	0.0008310875
1438.097015880367	0.99965674	0.0008313907
1438.0984048247954	1.0002084	0.00083094084
1438.0997937696882	0.9994045	0.0008310567
1438.1011827141162	1.0019532	0.00083144405
1438.1025716585452	0.99917877	0.0008307155
1438.103960603439	1.0001099	0.00083081314
1438.105349547867	0.9999225	0.0008300221
1438.1067384922953	1.0001637	0.0008299387
1438.1081274371898	1.0002584	0.00082875974
1438.1095163816187	1.0000495	0.00082974316
1438.110905326046	0.9986863	0.0008288734
1438.1122942709399	0.9997479	0.0008289751
1438.1136832153682	0.9991885	0.0008284265
1438.1150721597962	0.9998659	0.0008290013
1438.1164611046906	0.9993373	0.0008288734
1438.117850049119	0.99975294	0.0008285494
1438.1192389940127	1.0006393	0.00082869316
1438.1206279384407	0.9995584	0.0008287534
1438.1220168828688	1.0006665	0.0008286329
1438.1234058277635	0.99939716	0.00082838355
1438.1247947721915	1.0009979	0.00082817127
1438.1261837170846	0.9999263	0.0008276489
1438.1275726615133	0.9999474	0.0008275839
1438.1289616059423	0.9995673	0.0008274815
1438.130350550836	0.99939936	0.0008275447
1438.1317394952641	0.9999867	0.00082655065
1438.1331284401574	1.0011349	0.0008276083
1438.1345173845862	1.0006298	0.0008269332
1438.1359063294806	1.0006655	0.0008271909
1438.1372952739082	0.99956775	0.0008255412
1438.138684218802	1.00117	0.0008259636
1438.1400731632307	1.0009575	0.0008264238
1438.1414621076594	0.99951756	0.0008258541
1438.1428510525532	1.000176	0.00082597224
1438.1442399969808	1.0000169	0.00082608865
1438.1456289418745	0.9998333	0.00082604174
1438.1470178863035	1.0007166	0.0008256663
1438.1484068311972	1.0005754	0.00082533475
1438.1497957756253	0.99970853	0.0008252429
